location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Aruba,2020-01-01,0,0.034,0.005,-0.019,-0.036,NA,TRUE
Afghanistan,2020-01-01,-10.148,6.314,1.729,-10.148,-18.616,NA,FALSE
Angola,2020-01-01,13.825,33.334,13.825,0.799,-5.481,NA,FALSE
Anguilla,2020-01-01,-0.007,0.004,0,-0.007,-0.01,NA,FALSE
Albania,2020-01-01,0,0.264,0,-0.337,-0.646,NA,TRUE
Andorra,2020-01-01,0,0.032,0.006,-0.03,-0.034,NA,TRUE
United Arab Emirates,2020-01-01,-0.431,1.247,0.119,-0.631,-1.916,NA,FALSE
Argentina,2020-01-01,0,2.302,0,-8.2,-12.172,NA,TRUE
Armenia,2020-01-01,-0.888,0.165,-0.19,-0.888,-1.252,NA,FALSE
Antigua and Barbuda,2020-01-01,0,0.009,0,-0.054,-0.055,NA,TRUE
Australia,2020-01-01,0,0.095,0,-5.153,-5.599,NA,TRUE
Austria,2020-01-01,0,0.073,0,-2.68,-3.34,NA,TRUE
Azerbaijan,2020-01-01,0.162,1.283,0.347,-0.652,-2.598,NA,FALSE
Burundi,2020-01-01,6.9,6.9,6.9,0.014,-4.302,NA,FALSE
Belgium,2020-01-01,0,0.183,0,-3.666,-4.623,NA,TRUE
Benin,2020-01-01,1.756,6.391,1.999,-0.528,-3.294,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-01,-0.014,0.022,0.001,-0.014,-0.021,NA,FALSE
Burkina Faso,2020-01-01,6.148,7.906,6.148,-1.16,-8.292,NA,FALSE
Bangladesh,2020-01-01,6.725,45.328,19.515,-6.211,-90.224,NA,FALSE
Bulgaria,2020-01-01,0,1.018,0,-1.501,-2.186,NA,TRUE
Bahrain,2020-01-01,-0.211,0.13,-0.02,-0.211,-0.404,NA,FALSE
Bahamas,2020-01-01,-0.153,0.072,-0.019,-0.153,-0.19,NA,FALSE
Bosnia,2020-01-01,0,0.107,0,-1.293,-1.437,NA,TRUE
Belarus,2020-01-01,0,1.368,0.028,-0.809,-2.406,NA,TRUE
Belize,2020-01-01,0,0.052,0,-0.129,-0.129,NA,TRUE
Bermuda,2020-01-01,0,0.048,0.013,-0.006,-0.04,NA,TRUE
Bolivia,2020-01-01,0,2.116,0.545,-1.19,-1.598,NA,TRUE
Brazil,2020-01-01,0,34.178,10.09,-19.445,-36.639,NA,TRUE
Barbados,2020-01-01,0,0.01,0,-0.135,-0.136,NA,TRUE
Brunei,2020-01-01,0,0.048,0.007,-0.045,-0.096,NA,TRUE
Bhutan,2020-01-01,-0.198,0.07,-0.009,-0.198,-0.387,NA,FALSE
Botswana,2020-01-01,-0.529,0.9,0.145,-0.529,-1.116,NA,FALSE
Central African Republic,2020-01-01,2.45,3.294,2.45,-0.097,-1.551,NA,FALSE
Canada,2020-01-01,0,0,0,-13.109,-18.003,NA,TRUE
Switzerland,2020-01-01,0,0.832,0,-2.685,-3.246,NA,TRUE
Chile,2020-01-01,0,0,0,-4.564,-5.339,NA,TRUE
China,2020-01-01,-1008.939,98.608,-133.039,-1008.939,-1008.939,NA,TRUE
Ivory Coast,2020-01-01,7.857,7.857,7.857,-1.701,-7.939,NA,FALSE
Cameroon,2020-01-01,3.65,16.071,5.623,0.785,-6.206,NA,FALSE
Congo,2020-01-01,27.323,77.802,27.323,1.466,-28.894,NA,FALSE
Congo-Brazzaville,2020-01-01,1.661,4.7,1.728,0.173,-1.475,NA,FALSE
Cook Islands,2020-01-01,-0.012,0.005,-0.001,-0.012,-0.014,NA,FALSE
Colombia,2020-01-01,0,5.202,0.554,-6.939,-9.507,NA,TRUE
Comoros,2020-01-01,0.36,0.599,0.36,-0.005,-0.331,NA,FALSE
Cape Verde,2020-01-01,-0.091,0.155,0.009,-0.091,-0.289,NA,FALSE
Costa Rica,2020-01-01,0,0.123,0,-1.002,-1.103,NA,TRUE
Cuba,2020-01-01,0,0.915,0,-1.308,-3.877,NA,TRUE
Curaçao,2020-01-01,-0.032,0.094,0.027,-0.032,-0.051,NA,FALSE
Cayman Islands,2020-01-01,-0.032,0.033,0.005,-0.032,-0.034,NA,FALSE
Cyprus,2020-01-01,0,0,0,-0.211,-0.312,NA,TRUE
Czech Republic,2020-01-01,0,0,0,-3.396,-3.645,NA,TRUE
Germany,2020-01-01,0,6.547,0,-25.223,-27.399,NA,TRUE
Djibouti,2020-01-01,0.28,0.514,0.28,-0.084,-0.364,NA,FALSE
Dominica,2020-01-01,-0.021,0.018,0,-0.021,-0.035,NA,FALSE
Denmark,2020-01-01,0,0.021,0,-1.858,-2.148,NA,TRUE
Dominican Republic,2020-01-01,0,0,0,-2.927,-3.524,NA,TRUE
Algeria,2020-01-01,0,6.244,1.749,-2.553,-6.175,NA,TRUE
Ecuador,2020-01-01,0,2.602,0.821,-1.184,-3.956,NA,TRUE
Egypt,2020-01-01,0,21.084,21.075,0,-11.269,NA,TRUE
Eritrea,2020-01-01,0.222,1.542,0.52,-0.5,-3.969,NA,FALSE
Spain,2020-01-01,0,4.171,0,-4.705,-11.2,NA,TRUE
Estonia,2020-01-01,0,0,0,-0.493,-0.65,NA,TRUE
Ethiopia,2020-01-01,4.791,41.061,21.205,-3.826,-31.48,NA,FALSE
Finland,2020-01-01,0,0.067,0,-1.618,-2.317,NA,TRUE
Fiji,2020-01-01,-0.616,1.151,0.145,-0.616,-0.79,NA,FALSE
Falkland Islands,2020-01-01,-0.003,0.003,-0,-0.003,-0.004,NA,FALSE
France,2020-01-01,0,2.659,0,-19.542,-19.542,NA,TRUE
Faroe Islands,2020-01-01,0,0.006,0,-0.036,-0.066,NA,TRUE
Micronesia,2020-01-01,0.016,0.179,0.074,-0.021,-0.195,NA,FALSE
Gabon,2020-01-01,0.556,1.417,0.556,-0.153,-0.549,NA,FALSE
Britain,2020-01-01,0,0,0,-22.344,-22.344,NA,TRUE
Georgia,2020-01-01,0,0.545,0,-0.779,-0.978,NA,TRUE
Guernsey,2020-01-01,-0.039,0.022,-0.002,-0.039,-0.047,NA,FALSE
Ghana,2020-01-01,15.424,22.689,15.424,-1.4,-9.254,NA,FALSE
Gibraltar,2020-01-01,0,0.016,0,-0.029,-0.034,NA,TRUE
Guinea,2020-01-01,6.222,6.588,6.222,-0.005,-4.033,NA,FALSE
The Gambia,2020-01-01,0.684,1.137,0.684,-0.213,-1.01,NA,FALSE
Guinea-Bissau,2020-01-01,1.456,1.456,1.456,0.012,-0.607,NA,FALSE
Equatorial Guinea,2020-01-01,-0.186,0.374,0.093,-0.195,-0.665,NA,FALSE
Greece,2020-01-01,0,0.57,0,-1.172,-2.661,NA,TRUE
Grenada,2020-01-01,-0.046,0.009,-0.004,-0.046,-0.048,NA,FALSE
Greenland,2020-01-01,0,0.011,0,-0.025,-0.035,NA,TRUE
Guatemala,2020-01-01,0,3.386,0.486,-2.563,-3.86,NA,TRUE
Guyana,2020-01-01,-0.152,0.096,-0.02,-0.152,-0.316,NA,FALSE
Hong Kong,2020-01-01,0,2.199,0.452,-0.296,-1.677,NA,TRUE
Honduras,2020-01-01,-0.205,2.353,0.856,-0.284,-1.736,NA,FALSE
Croatia,2020-01-01,0,0.327,0,-1.302,-1.302,NA,TRUE
Haiti,2020-01-01,1.847,2.342,1.847,-0.56,-2.514,NA,FALSE
Hungary,2020-01-01,0,0.113,0,-2.983,-3.44,NA,TRUE
Indonesia,2020-01-01,152.829,164.271,152.829,-16.045,-69.001,NA,FALSE
Isle of Man,2020-01-01,-0.049,0.016,-0.001,-0.049,-0.053,NA,FALSE
India,2020-01-01,725.688,754.002,725.688,-30.377,-275.271,NA,FALSE
Ireland,2020-01-01,0,0.159,0,-1.711,-2.8,NA,TRUE
Iran,2020-01-01,0,6.182,0,-21.741,-33.158,NA,TRUE
Iraq,2020-01-01,-1.731,12.687,5.134,-1.731,-6.581,NA,FALSE
Iceland,2020-01-01,0,0,0,-0.191,-0.227,NA,TRUE
Israel,2020-01-01,0,0.109,0,-1.993,-3.061,NA,TRUE
Italy,2020-01-01,0,5.573,0,-5.358,-14.019,NA,TRUE
Jamaica,2020-01-01,0,0,0,-0.863,-0.998,NA,TRUE
Jersey,2020-01-01,-0.066,0.035,-0.006,-0.066,-0.107,NA,FALSE
Jordan,2020-01-01,0,1.418,0.012,-1.048,-2.949,NA,TRUE
Japan,2020-01-01,0,36.361,0,-24.405,-51.551,NA,TRUE
Kazakhstan,2020-01-01,0,2.734,0.33,-3.27,-7.588,NA,TRUE
Kenya,2020-01-01,43.477,45.692,43.477,2.348,-13.258,NA,FALSE
Kyrgyzstan,2020-01-01,0,1.376,0.366,-0.409,-1.748,NA,TRUE
Cambodia,2020-01-01,-3.978,6.432,1.068,-3.978,-6.702,NA,FALSE
Kiribati,2020-01-01,-0.045,0.157,0.017,-0.064,-0.181,NA,FALSE
Saint Kitts and Nevis,2020-01-01,-0.019,0.017,0.001,-0.019,-0.03,NA,FALSE
South Korea,2020-01-01,0,8.634,0,-16.202,-25.485,NA,TRUE
Kuwait,2020-01-01,0,0.258,0,-0.619,-0.801,NA,TRUE
Laos,2020-01-01,1.946,2.499,1.946,-0.176,-1.934,NA,FALSE
Lebanon,2020-01-01,0,0.256,0,-0.816,-1.493,NA,TRUE
Liberia,2020-01-01,3.852,3.852,3.852,-0.08,-1.498,NA,FALSE
Libya,2020-01-01,-1.443,0.923,0.071,-1.443,-2.946,NA,FALSE
Saint Lucia,2020-01-01,0.013,0.042,0.013,-0.028,-0.086,NA,FALSE
Liechtenstein,2020-01-01,0,0.024,0,-0.016,-0.024,NA,TRUE
Sri Lanka,2020-01-01,3.656,6.47,3.656,-3.322,-9.248,NA,FALSE
Lesotho,2020-01-01,1.051,1.129,1.051,-0.093,-0.792,NA,FALSE
Lithuania,2020-01-01,0,0.702,0.128,-0.335,-0.875,NA,TRUE
Luxembourg,2020-01-01,0,0.04,0,-0.278,-0.382,NA,TRUE
Latvia,2020-01-01,0,0.224,0,-0.736,-1.019,NA,TRUE
Macau,2020-01-01,0,0.319,0.043,-0.062,-0.157,NA,TRUE
Morocco,2020-01-01,-2.92,5.209,0.189,-3.126,-8.383,NA,FALSE
Monaco,2020-01-01,0,0.05,0.038,-0.005,-0.029,NA,TRUE
Moldova,2020-01-01,0,0.226,0,-1.006,-1.429,NA,TRUE
Madagascar,2020-01-01,25.578,29.501,25.578,0.299,-7.33,NA,FALSE
Maldives,2020-01-01,0,0.628,0.044,-0.062,-0.128,NA,TRUE
Mexico,2020-01-01,0,12.053,0,-28.206,-28.206,NA,TRUE
Marshall Islands,2020-01-01,-0.012,0.116,0.047,-0.042,-0.138,NA,FALSE
North Macedonia,2020-01-01,0,0.226,0,-0.371,-0.954,NA,TRUE
Mali,2020-01-01,-0.264,4.746,1.494,-1.476,-8.094,NA,FALSE
Malta,2020-01-01,0,0.022,0,-0.112,-0.181,NA,TRUE
Myanmar,2020-01-01,6.985,17.607,6.985,-2.51,-14.922,NA,FALSE
Montenegro,2020-01-01,0,0.138,0,-0.181,-0.295,NA,TRUE
Mongolia,2020-01-01,0,0.271,0,-1.281,-1.775,NA,TRUE
Mozambique,2020-01-01,5.967,13.302,6.031,0.057,-6.538,NA,FALSE
Mauritania,2020-01-01,-0.184,1.639,0.5,-0.43,-2.566,NA,FALSE
Montserrat,2020-01-01,-0.002,0.001,-0,-0.002,-0.003,NA,FALSE
Mauritius,2020-01-01,0,0,0,-0.428,-2.07,NA,TRUE
Malawi,2020-01-01,12.194,12.194,12.194,-0.211,-6.394,NA,FALSE
Malaysia,2020-01-01,0,3.465,0,-7.036,-7.797,NA,TRUE
Namibia,2020-01-01,0.488,0.96,0.488,-0.271,-1.693,NA,FALSE
New Caledonia,2020-01-01,-0.215,0.281,-0.03,-0.215,-0.542,NA,FALSE
Niger,2020-01-01,3.791,8.866,3.791,-0.552,-8.806,NA,FALSE
Nigeria,2020-01-01,155.8,167.124,155.8,-0.648,-43.765,NA,FALSE
Nicaragua,2020-01-01,0,2.246,1.749,-0.226,-1.264,NA,TRUE
Niue,2020-01-01,-0.001,0,-0,-0.001,-0.001,NA,FALSE
Netherlands,2020-01-01,0,0,0,-5.158,-6.762,NA,TRUE
Norway,2020-01-01,0,0,0,-1.891,-2.033,NA,TRUE
Nepal,2020-01-01,17.887,17.887,17.887,-1.762,-7.002,NA,FALSE
Nauru,2020-01-01,-0.005,0.023,0.005,-0.007,-0.019,NA,FALSE
New Zealand,2020-01-01,0,0,0,-1.148,-1.563,NA,TRUE
Oman,2020-01-01,0,0.309,0,-0.588,-0.857,NA,TRUE
Pakistan,2020-01-01,3.562,60.209,24.143,-0.979,-47.028,NA,FALSE
Panama,2020-01-01,0,0.158,0,-0.93,-1.52,NA,TRUE
Pitcairn,2020-01-01,-0,0,-0,-0,-0,NA,FALSE
Peru,2020-01-01,0,4.626,0.428,-5.496,-9.533,NA,TRUE
Philippines,2020-01-01,0,32.456,1.873,-13.656,-24.901,NA,TRUE
Palau,2020-01-01,-0.013,0.039,0.007,-0.018,-0.052,NA,FALSE
Papua New Guinea,2020-01-01,-3.065,10.274,2.126,-3.19,-10.792,NA,FALSE
Poland,2020-01-01,0,0.091,0,-11.894,-13.789,NA,TRUE
North Korea,2020-01-01,-7.548,8.132,-1.898,-8.178,-49.135,NA,FALSE
Portugal,2020-01-01,0,1.126,0,-1.081,-2.254,NA,TRUE
Paraguay,2020-01-01,0,5.087,0.457,-1.192,-3.43,NA,TRUE
Palestinian Territories,2020-01-01,0,1.797,0,-2.102,-2.342,NA,TRUE
French Polynesia,2020-01-01,0,0.177,0,-0.176,-0.333,NA,TRUE
Qatar,2020-01-01,0,0.158,0,-0.308,-0.636,NA,TRUE
Romania,2020-01-01,0,0.579,0,-5.638,-5.927,NA,TRUE
Russia,2020-01-01,0,19.456,5.824,-19.29,-68.55,NA,TRUE
Rwanda,2020-01-01,1.939,5.148,2.239,-0.185,-4.085,NA,FALSE
Saudi Arabia,2020-01-01,-4.986,4.47,0.787,-4.986,-6.757,NA,FALSE
Sudan,2020-01-01,10.359,13.967,10.359,0.939,-5.571,NA,FALSE
Senegal,2020-01-01,4.047,7.011,4.047,-1.654,-7.187,NA,FALSE
Singapore,2020-01-01,0,0.455,0,-1.458,-2.338,NA,TRUE
St. Helena Ascension and Tristan da Cunha,2020-01-01,-0.003,0.007,-0,-0.004,-0.006,NA,FALSE
Solomon Islands,2020-01-01,-0.135,0.772,0.258,-0.228,-0.708,NA,FALSE
Sierra Leone,2020-01-01,2.381,4.267,2.381,-0.609,-2.112,NA,FALSE
El Salvador,2020-01-01,0,0.469,0,-1.129,-1.661,NA,TRUE
San Marino,2020-01-01,0,0.03,0.023,-0.004,-0.022,NA,TRUE
Somalia,2020-01-01,4.493,10.595,4.759,0.154,-3.482,NA,FALSE
St. Pierre and Miquelon,2020-01-01,-0.004,0.003,-0,-0.004,-0.013,NA,FALSE
Serbia,2020-01-01,0,2.391,0.342,-1.185,-3.697,NA,TRUE
South Sudan,2020-01-01,3.001,13.193,6.105,1.134,-2.991,NA,FALSE
São Tomé and Príncipe,2020-01-01,-0.053,0.079,0.022,-0.053,-0.133,NA,FALSE
Suriname,2020-01-01,-0.203,0.049,-0.034,-0.203,-0.259,NA,FALSE
Slovakia,2020-01-01,0,0.452,0,-1.445,-1.96,NA,TRUE
Slovenia,2020-01-01,0,0.038,0,-0.697,-0.697,NA,TRUE
Sweden,2020-01-01,0,0,0,-3.18,-3.769,NA,TRUE
Eswatini,2020-01-01,0.059,0.411,0.121,-0.073,-0.401,NA,FALSE
Sint Maarten,2020-01-01,-0.017,0.016,0.003,-0.017,-0.026,NA,FALSE
Seychelles,2020-01-01,0,0,0,-0.115,-0.171,NA,TRUE
Syria,2020-01-01,-3.537,4.117,0.44,-3.537,-8.492,NA,FALSE
Turks and Caicos Islands,2020-01-01,-0.015,0.011,0.002,-0.015,-0.022,NA,FALSE
Chad,2020-01-01,0.145,6.284,2.858,-0.6,-6.543,NA,FALSE
Togo,2020-01-01,2.796,3.29,2.796,-0.485,-2.64,NA,FALSE
Thailand,2020-01-01,0,8.872,2.18,-4.774,-12.161,NA,TRUE
Tajikistan,2020-01-01,0,3.292,1.745,0,-2.685,NA,TRUE
Tokelau,2020-01-01,-0.001,0.001,-0,-0.001,-0.001,NA,FALSE
Turkmenistan,2020-01-01,-0.522,1.729,0.515,-0.522,-1.719,NA,FALSE
Timor-Leste,2020-01-01,0.976,1.277,0.976,-0.074,-0.35,NA,FALSE
Tonga,2020-01-01,-0.042,0.037,0.004,-0.042,-0.049,NA,FALSE
Trinidad and Tobago,2020-01-01,-0.273,0.014,-0.114,-0.276,-0.471,NA,FALSE
Tunisia,2020-01-01,0,0.149,0,-2.76,-3.475,NA,TRUE
Turkey,2020-01-01,-6.152,6.63,-1.546,-9.796,-22.523,NA,FALSE
Tuvalu,2020-01-01,0.002,0.01,0.003,-0.002,-0.007,NA,FALSE
Taiwan,2020-01-01,0,2.311,0,-4.719,-13.614,NA,TRUE
Tanzania,2020-01-01,25.624,57.672,25.624,3.096,-7.961,NA,FALSE
Uganda,2020-01-01,20.747,20.747,20.747,0.308,-14.126,NA,FALSE
Ukraine,2020-01-01,0,6.733,0,-14.075,-16.338,NA,TRUE
Uruguay,2020-01-01,0,0.028,0,-1.067,-1.297,NA,TRUE
United States,2020-01-01,0,47.322,0,-42.308,-90.399,NA,TRUE
Uzbekistan,2020-01-01,0,3.452,1.124,-4.141,-8.176,NA,TRUE
Vatican,2020-01-01,-0.001,0.001,-0,-0.001,-0.002,NA,FALSE
Saint Vincent and the Grenadines,2020-01-01,-0.043,0.003,-0.007,-0.043,-0.051,NA,FALSE
Venezuela,2020-01-01,-2.156,11.038,2.051,-2.156,-6.753,NA,FALSE
Virgin Islands (British),2020-01-01,-0.017,0.009,0,-0.017,-0.022,NA,FALSE
Vietnam,2020-01-01,-6.192,32.914,7.007,-6.192,-21.255,NA,FALSE
Vanuatu,2020-01-01,-0.13,0.316,0.084,-0.13,-0.288,NA,FALSE
Wallis and Futuna,2020-01-01,-0.003,0.019,0.004,-0.004,-0.011,NA,FALSE
Samoa,2020-01-01,-0.081,0.069,0.013,-0.081,-0.084,NA,FALSE
Yemen,2020-01-01,4.276,12.135,5.918,1.141,-5.483,NA,FALSE
South Africa,2020-01-01,0,56.511,27.307,0,-16.38,NA,TRUE
Zambia,2020-01-01,11.063,11.063,11.063,0.043,-4.889,NA,FALSE
Zimbabwe,2020-01-01,3.876,5.649,3.876,-0.309,-5.228,NA,FALSE
European Union,2020-01-01,0,0,0,0,0,NA,TRUE
Aruba,2020-01-06,0,0.069,0.016,-0.012,-0.042,NA,TRUE
Afghanistan,2020-01-06,-10.268,6.306,1.461,-10.268,-18.863,NA,FALSE
Angola,2020-01-06,13.825,33.334,13.825,0.799,-5.312,NA,FALSE
Anguilla,2020-01-06,-0.007,0.014,0.004,-0.007,-0.012,NA,FALSE
Albania,2020-01-06,0,0.247,0,-0.337,-0.633,NA,TRUE
Andorra,2020-01-06,0,0.033,0.007,-0.03,-0.034,NA,TRUE
United Arab Emirates,2020-01-06,-0.402,1.216,0.066,-0.638,-1.926,NA,FALSE
Argentina,2020-01-06,0,34.122,2.088,-6.812,-49.244,NA,TRUE
Armenia,2020-01-06,-0.889,0.161,-0.183,-0.889,-1.25,NA,FALSE
Antigua and Barbuda,2020-01-06,0,0.026,0,-0.054,-0.056,NA,TRUE
Australia,2020-01-06,0,0.096,0,-5.153,-5.601,NA,TRUE
Austria,2020-01-06,0,0.186,0,-2.743,-3.526,NA,TRUE
Azerbaijan,2020-01-06,0.133,1.228,0.299,-0.668,-2.511,NA,FALSE
Burundi,2020-01-06,6.9,6.9,6.9,-0.13,-4.216,NA,FALSE
Belgium,2020-01-06,0,0.313,0,-3.717,-4.827,NA,TRUE
Benin,2020-01-06,1.756,5.815,2.027,-0.769,-3.536,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-06,-0.014,0.033,0.006,-0.014,-0.021,NA,FALSE
Burkina Faso,2020-01-06,6.148,9.643,6.148,-1.508,-8.936,NA,FALSE
Bangladesh,2020-01-06,6.725,44.575,19.578,-7.296,-91.97,NA,FALSE
Bulgaria,2020-01-06,0,1.018,0,-1.521,-2.137,NA,TRUE
Bahrain,2020-01-06,-0.208,0.144,-0.01,-0.208,-0.399,NA,FALSE
Bahamas,2020-01-06,-0.153,0.094,-0.009,-0.153,-0.241,NA,FALSE
Bosnia,2020-01-06,0,0.127,0,-1.293,-1.527,NA,TRUE
Belarus,2020-01-06,0,1.293,0.025,-0.858,-2.374,NA,TRUE
Belize,2020-01-06,0,0.055,0,-0.129,-0.129,NA,TRUE
Bermuda,2020-01-06,0,0.048,0.013,-0.009,-0.039,NA,TRUE
Bolivia,2020-01-06,0,5.872,1.625,-0.941,-3.39,NA,TRUE
Brazil,2020-01-06,0,77.339,27.177,-15.02,-39.55,NA,TRUE
Barbados,2020-01-06,0,0.018,0,-0.135,-0.142,NA,TRUE
Brunei,2020-01-06,0,0.071,0.014,-0.042,-0.096,NA,TRUE
Bhutan,2020-01-06,-0.201,0.072,-0.026,-0.201,-0.403,NA,FALSE
Botswana,2020-01-06,-0.489,0.883,0.166,-0.489,-0.954,NA,FALSE
Central African Republic,2020-01-06,2.439,3.298,2.439,-0.128,-1.609,NA,FALSE
Canada,2020-01-06,0,0,0,-13.259,-18.159,NA,TRUE
Switzerland,2020-01-06,0,0.835,0,-2.722,-3.188,NA,TRUE
Chile,2020-01-06,0,1.205,0,-4.452,-5.575,NA,TRUE
China,2020-01-06,-1008.939,101.352,-132.859,-1008.939,-1008.939,NA,TRUE
Ivory Coast,2020-01-06,7.857,7.857,7.857,-1.564,-9.341,NA,FALSE
Cameroon,2020-01-06,3.65,15.101,6.091,0.719,-5.574,NA,FALSE
Congo,2020-01-06,27.561,77.751,27.561,1.52,-30.616,NA,FALSE
Congo-Brazzaville,2020-01-06,1.67,4.7,1.798,0.29,-1.313,NA,FALSE
Cook Islands,2020-01-06,-0.012,0.006,-0.001,-0.012,-0.014,NA,FALSE
Colombia,2020-01-06,0,8.217,1.273,-6.275,-11.207,NA,TRUE
Comoros,2020-01-06,0.358,0.598,0.358,-0.012,-0.331,NA,FALSE
Cape Verde,2020-01-06,-0.091,0.144,0.014,-0.092,-0.289,NA,FALSE
Costa Rica,2020-01-06,0,0.166,0,-0.987,-1.067,NA,TRUE
Cuba,2020-01-06,0,1.39,0.015,-1.059,-3.812,NA,TRUE
Curaçao,2020-01-06,-0.02,0.116,0.031,-0.02,-0.047,NA,FALSE
Cayman Islands,2020-01-06,-0.031,0.125,0.036,-0.031,-0.044,NA,FALSE
Cyprus,2020-01-06,0,0.002,0,-0.211,-0.306,NA,TRUE
Czech Republic,2020-01-06,0,0,0,-3.443,-3.587,NA,TRUE
Germany,2020-01-06,0,5.323,0,-25.822,-28.329,NA,TRUE
Djibouti,2020-01-06,0.275,0.514,0.275,-0.08,-0.363,NA,FALSE
Dominica,2020-01-06,-0.022,0.079,0.011,-0.022,-0.033,NA,FALSE
Denmark,2020-01-06,0,0.02,0,-1.876,-2.118,NA,TRUE
Dominican Republic,2020-01-06,0,0,0,-2.917,-4.299,NA,TRUE
Algeria,2020-01-06,0,5.891,1.938,-2.553,-6.359,NA,TRUE
Ecuador,2020-01-06,0,4.78,1.307,-1.028,-3.887,NA,TRUE
Egypt,2020-01-06,0,21.084,20.848,0,-10.673,NA,TRUE
Eritrea,2020-01-06,0.222,1.541,0.509,-0.496,-3.967,NA,FALSE
Spain,2020-01-06,0,4.314,0,-5.204,-11.73,NA,TRUE
Estonia,2020-01-06,0,0,0,-0.495,-0.679,NA,TRUE
Ethiopia,2020-01-06,4.791,41.631,21.292,-4.765,-33.103,NA,FALSE
Finland,2020-01-06,0,0.048,0,-1.623,-2.27,NA,TRUE
Fiji,2020-01-06,-0.613,1.178,0.159,-0.613,-0.778,NA,FALSE
Falkland Islands,2020-01-06,-0.003,0.004,0,-0.003,-0.005,NA,FALSE
France,2020-01-06,0,0.901,0,-22.187,-22.187,NA,TRUE
Faroe Islands,2020-01-06,0,0.008,0,-0.036,-0.066,NA,TRUE
Micronesia,2020-01-06,0.017,0.182,0.074,-0.019,-0.191,NA,FALSE
Gabon,2020-01-06,0.508,1.42,0.529,-0.179,-0.55,NA,FALSE
Britain,2020-01-06,0,0,0,-22.645,-22.645,NA,TRUE
Georgia,2020-01-06,0,0.604,0.032,-0.796,-1.178,NA,TRUE
Guernsey,2020-01-06,-0.039,0.022,-0.002,-0.039,-0.047,NA,FALSE
Ghana,2020-01-06,15.424,22.792,15.424,-1.686,-11.083,NA,FALSE
Gibraltar,2020-01-06,0,0.02,0,-0.029,-0.034,NA,TRUE
Guinea,2020-01-06,6.222,6.222,6.222,-0.202,-4.664,NA,FALSE
The Gambia,2020-01-06,0.684,1.131,0.684,-0.23,-1.124,NA,FALSE
Guinea-Bissau,2020-01-06,1.456,1.456,1.456,0.015,-0.76,NA,FALSE
Equatorial Guinea,2020-01-06,-0.188,0.383,0.112,-0.202,-0.666,NA,FALSE
Greece,2020-01-06,0,0.775,0,-1.197,-2.931,NA,TRUE
Grenada,2020-01-06,-0.046,0.02,-0.004,-0.046,-0.055,NA,FALSE
Greenland,2020-01-06,0,0.012,0.001,-0.026,-0.035,NA,TRUE
Guatemala,2020-01-06,0,5.627,1.184,-2.521,-3.803,NA,TRUE
Guyana,2020-01-06,-0.176,0.197,-0.008,-0.176,-0.366,NA,FALSE
Hong Kong,2020-01-06,0,2.607,0.462,-0.31,-7.221,NA,TRUE
Honduras,2020-01-06,0.102,2.75,1.19,-0.165,-1.897,NA,FALSE
Croatia,2020-01-06,0,0.337,0,-1.325,-1.325,NA,TRUE
Haiti,2020-01-06,1.849,3.142,1.849,-0.456,-2.873,NA,FALSE
Hungary,2020-01-06,0,0.167,0,-3.026,-3.445,NA,TRUE
Indonesia,2020-01-06,154.781,218.105,154.781,-15.616,-69.968,NA,FALSE
Isle of Man,2020-01-06,-0.049,0.016,-0.001,-0.049,-0.053,NA,FALSE
India,2020-01-06,727.957,755.133,727.957,-30.325,-275.952,NA,FALSE
Ireland,2020-01-06,0,0.235,0,-1.814,-3.28,NA,TRUE
Iran,2020-01-06,0,6.026,0,-21.996,-33.158,NA,TRUE
Iraq,2020-01-06,-1.731,12.715,5.168,-1.731,-6.581,NA,FALSE
Iceland,2020-01-06,0,0,0,-0.191,-0.229,NA,TRUE
Israel,2020-01-06,0,0.198,0,-1.996,-3.064,NA,TRUE
Italy,2020-01-06,0,5.155,0,-5.439,-14.019,NA,TRUE
Jamaica,2020-01-06,0,0,0,-0.863,-1.309,NA,TRUE
Jersey,2020-01-06,-0.066,0.035,-0.006,-0.066,-0.107,NA,FALSE
Jordan,2020-01-06,0,1.429,0.033,-1.078,-3.046,NA,TRUE
Japan,2020-01-06,0,44.537,0,-24.758,-58.662,NA,TRUE
Kazakhstan,2020-01-06,0,2.715,0.273,-3.361,-7.699,NA,TRUE
Kenya,2020-01-06,43.477,45.692,43.477,1.812,-15.588,NA,FALSE
Kyrgyzstan,2020-01-06,0,1.376,0.359,-0.425,-1.742,NA,TRUE
Cambodia,2020-01-06,-3.83,6.712,1.449,-3.83,-6.767,NA,FALSE
Kiribati,2020-01-06,-0.045,0.163,0.017,-0.063,-0.182,NA,FALSE
Saint Kitts and Nevis,2020-01-06,-0.019,0.068,0.011,-0.019,-0.026,NA,FALSE
South Korea,2020-01-06,0,8.37,0,-16.29,-26.709,NA,TRUE
Kuwait,2020-01-06,0,0.243,0,-0.648,-0.85,NA,TRUE
Laos,2020-01-06,1.946,3.028,1.946,-0.199,-1.829,NA,FALSE
